,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
0,ceilings,five seconds flat,Lizzy McAlpine,2022-04-08,182887,91,0.473,0.516,0.322,0.00194,0.215,-11.762,0.0292,148.005,3
1,could you love me while i hate myself,scared of everything,Zeph,2021-10-15,60333,75,0.782,0.68,0.406,0.00019,0.11,-11.313,0.0414,119.901,4
2,I know it won't work,Good Riddance,Gracie Abrams,2023-02-24,245629,75,0.537,0.653,0.575,7.9e-05,0.121,-8.95,0.0594,119.888,4
3,Never Gonna Be Alone (feat. Lizzy McAlpine & John Mayer),Never Gonna Be Alone (feat. Lizzy McAlpine & John Mayer),Jacob Collier,2022-06-10,249946,61,0.592,0.576,0.423,0.682,0.322,-9.218,0.0265,90.552,4
4,Too Well,Everything To Everyone,Reneé Rapp,2022-11-11,156631,73,0.125,0.668,0.618,0.0,0.112,-4.639,0.0607,120.951,4
5,Apple Pie,Give Me A Minute,Lizzy McAlpine,2020-08-13,259165,62,0.855,0.518,0.208,5.15e-06,0.12,-12.273,0.0363,179.836,4
6,Satanist,the record,boygenius,2023-03-31,290360,66,0.00438,0.407,0.714,0.00235,0.0914,-8.201,0.0478,125.481,4
7,Stupid,When The World Stopped Moving: The Live EP,Lizzy McAlpine,2021-04-21,222000,51,0.926,0.403,0.0955,6.58e-06,0.236,-16.41,0.0433,81.97,4
8,"I miss you, I’m sorry",minor,Gracie Abrams,2020-07-14,167538,77,0.731,0.445,0.455,1.47e-06,0.124,-6.405,0.0575,109.885,5
9,my fault,crush (demos),Zeph,2022-04-18,60869,66,0.904,0.592,0.321,0.0,0.143,-14.251,0.0382,137.838,4
10,hate to be lame,five seconds flat,Lizzy McAlpine,2022-04-08,156798,69,0.871,0.522,0.251,0.000258,0.0769,-12.626,0.0603,137.366,3
11,Bruises,Everything To Everyone (Deluxe),Reneé Rapp,2023-02-24,161469,70,0.728,0.496,0.345,0.0,0.0687,-7.893,0.15,180.719,4
12,Devil's Hold,Devil's Hold,J.Pappas,2020-02-14,198400,31,0.191,0.526,0.424,0.0,0.153,-10.093,0.367,73.426,4
13,Bite The Hand,boygenius,boygenius,2018-10-26,192070,61,0.374,0.543,0.507,0.0343,0.11,-8.119,0.0269,100.13,4
14,Breathe Out,Bitter End,Mackenzie Day,2020-04-27,171934,32,0.414,0.698,0.396,0.0,0.0844,-11.937,0.0635,100.986,4
15,Where do we go now?,Good Riddance,Gracie Abrams,2023-02-24,243599,71,0.451,0.611,0.686,0.0287,0.143,-10.693,0.0456,151.028,4
16,Give Me A Minute,Give Me A Minute,Lizzy McAlpine,2020-08-13,157493,61,0.792,0.668,0.211,0.0002,0.108,-15.532,0.031,111.969,3
17,In The Kitchen,Everything To Everyone,Reneé Rapp,2022-11-11,227749,70,0.833,0.364,0.294,0.0,0.264,-6.578,0.0504,79.477,3
18,...What Are We?,When The World Stopped Moving: The Live EP,Lizzy McAlpine,2021-04-21,218500,54,0.91,0.461,0.174,3.53e-06,0.111,-14.917,0.0351,91.648,4
19,Cool About It,the record,boygenius,2023-03-31,180000,70,0.902,0.565,0.203,0.0,0.115,-13.656,0.0332,93.213,4
20,doomsday,five seconds flat,Lizzy McAlpine,2022-04-08,268432,70,0.583,0.404,0.268,0.0,0.102,-9.631,0.0341,134.587,3
21,Feels Like,This Is What It Feels Like,Gracie Abrams,2021-11-12,152317,72,0.702,0.617,0.483,0.000216,0.121,-7.359,0.0458,144.99,4
22,Stayin' Alive,Stank Face,Scary Pockets,2023-01-13,189845,45,0.423,0.696,0.737,0.000108,0.121,-7.309,0.167,91.18,4
23,you,crush (demos),Zeph,2022-04-18,70684,58,0.514,0.273,0.531,0.0,0.329,-8.95,0.0345,72.348,4
24,I Think I,I Think I,Ben Kessler,2021-09-10,169411,44,0.437,0.557,0.487,0.00987,0.167,-10.003,0.0405,158.877,3
25,Salt In The Wound,boygenius,boygenius,2018-10-26,251469,59,0.0204,0.417,0.361,0.00167,0.0999,-7.59,0.0301,62.532,3
26,Lately I've Been Sad,Lately I've Been Sad,Lilacs.,2019-07-26,182571,39,0.352,0.741,0.35,0.00368,0.406,-15.925,0.0493,140.037,4
